product,coef,elasticity,nobs
LG Washing Machine,-0.005349739134790034,-2.915362427582826,100
20in Monitor,-0.03118755869937737,-1.9424184629363326,367
27in FHD Monitor,-0.023338989161010935,-1.2936363555470023,452
Flatscreen TV,-0.00653818122630886,-0.9453362665078592,383
34in Ultrawide Monitor,-0.004436642080593464,-0.7114412014143876,437
USB-C Charging Cable,-0.3247712250645635,-0.6593267922950324,537
Lightning Charging Cable,-0.04954832917748259,-0.12069365814463297,544
AA Batteries (4-pack),-0.11751057477238448,-0.09418481909069792,531
AAA Batteries (4-pack),-0.009437252012625671,-0.006526853050212234,521
Macbook Pro Laptop,-3.984549779731345e-06,-0.003362901496005703,376
iPhone,4.0831357114438575e-06,0.001151505752741512,460
Wired Headphones,0.1319344902834569,0.29425138254093547,532
Google Phone,0.002207757581845616,0.5792712929527691,414
Vareebadd Phone,0.0022416016560396633,0.6328934369252933,256
Bose SoundSport Headphones,0.03275861962616934,0.7926762449179451,521
Apple Airpods Headphones,0.028747197396407846,0.9142404741809039,533
ThinkPad Laptop,0.002853075734771137,1.4782805302956006,349
27in 4K Gaming Monitor,0.013456584058868116,2.2558201376496054,432
LG Dryer,0.004961113639461097,2.496287180050791,104
